"timestamp","usd_hashprice","btc_hashprice"
"2025-04-02","47.54","0.00055828"
"2025-04-01","46.93","0.00055843"
"2025-03-31","45.90","0.00055723"
"2025-03-30","46.19","0.00055744"
"2025-03-29","46.48","0.00055911"
"2025-03-27","47.57","0.00055874"
"2025-03-27","48.97","0.00056139"
"2025-03-26","49.74","0.00056948"
"2025-03-25","49.02","0.00056126"
"2025-03-24","48.83","0.00055881"
"2025-03-23","48.05","0.00056753"
"2025-03-22","47.79","0.00056778"
"2025-03-21","47.75","0.00056759"
"2025-03-20","48.35","0.00056712"
"2025-03-19","47.59","0.00056617"
"2025-03-18","46.75","0.00056640"
"2025-03-17","47.29","0.00056600"
"2025-03-16","47.34","0.00056645"
"2025-03-15","47.80","0.00056741"
"2025-03-14","47.16","0.00056720"
"2025-03-13","46.62","0.00056651"
"2025-03-12","46.85","0.00056758"
"2025-03-11","45.95","0.00056712"
"2025-03-10","45.84","0.00056635"
"2025-03-09","48.14","0.00057066"
"2025-03-08","49.60","0.00057550"
"2025-03-07","50.61","0.00057484"
"2025-03-06","52.02","0.00057459"
"2025-03-05","51.01","0.00057503"
"2025-03-04","48.76","0.00057574"
"2025-03-03","52.31","0.00057591"
"2025-03-02","50.86","0.00057560"
"2025-03-01","49.09","0.00057692"
"2025-02-28","47.27","0.00057667"
"2025-02-27","49.42","0.00058032"
"2025-02-26","50.76","0.00058189"
"2025-02-25","52.20","0.00058435"
"2025-02-24","55.95","0.00058838"
"2025-02-23","54.11","0.00056317"
"2025-02-22","53.91","0.00055872"
"2025-02-21","54.54","0.00055792"
"2025-02-20","54.38","0.00055787"
"2025-02-19","53.43","0.00055684"
"2025-02-18","53.28","0.00055844"
"2025-02-17","53.49","0.00055661"
"2025-02-16","53.92","0.00055478"
"2025-02-15","54.22","0.00055554"
"2025-02-14","54.06","0.00055675"
"2025-02-13","53.67","0.00055660"
"2025-02-12","53.66","0.00055743"
"2025-02-11","54.15","0.00055724"
"2025-02-10","54.00","0.00055544"
"2025-02-09","54.82","0.00056773"
"2025-02-08","56.52","0.00058681"
"2025-02-07","57.22","0.00058793"
"2025-02-06","57.34","0.00058811"
"2025-02-05","57.60","0.00058906"
"2025-02-04","58.50","0.00058873"
"2025-02-03","56.96","0.00058775"
"2025-02-02","58.07","0.00058617"
"2025-02-01","59.94","0.00058779"
"2025-01-31","61.16","0.00058802"
"2025-01-30","61.74","0.00058745"
"2025-01-29","60.20","0.00058740"
"2025-01-28","60.24","0.00058848"
"2025-01-27","58.83","0.00058605"
"2025-01-26","60.31","0.00057544"
"2025-01-25","60.52","0.00057811"
"2025-01-24","60.69","0.00057770"
"2025-01-23","59.64","0.00057774"
"2025-01-22","60.90","0.00058055"
"2025-01-21","60.82","0.00058564"
"2025-01-20","60.59","0.00057944"
"2025-01-19","60.36","0.00057720"
"2025-01-18","60.02","0.00057841"
"2025-01-17","59.67","0.00058039"
"2025-01-16","57.69","0.00057965"
"2025-01-15","56.61","0.00057727"
"2025-01-14","55.48","0.00057872"
"2025-01-13","53.58","0.00057619"
"2025-01-12","54.65","0.00057834"
"2025-01-11","54.81","0.00058083"
"2025-01-10","54.73","0.00058085"
"2025-01-09","54.48","0.00058310"
"2025-01-08","55.67","0.00058316"
"2025-01-07","58.20","0.00058259"
"2025-01-06","58.08","0.00057974"
"2025-01-05","56.86","0.00057984"
"2025-01-04","56.86","0.00058016"
"2025-01-03","56.35","0.00057965"
"2025-01-02","55.63","0.00057835"
"2025-01-01","54.45","0.00058059"
"2024-12-31","54.29","0.00057997"
"2024-12-30","54.25","0.00058150"
"2024-12-29","55.30","0.00058563"
"2024-12-28","55.51","0.00058698"
"2024-12-27","56.18","0.00058853"
"2024-12-26","56.92","0.00058893"
"2024-12-25","58.12","0.00059070"
"2024-12-24","56.88","0.00059368"
"2024-12-23","55.93","0.00059085"
"2024-12-22","56.81","0.00059044"
"2024-12-21","58.31","0.00059714"
"2024-12-20","58.29","0.00060507"
"2024-12-19","60.11","0.00059999"
"2024-12-18","61.97","0.00059618"
"2024-12-17","63.47","0.00059464"
"2024-12-16","62.66","0.00059484"
"2024-12-15","63.50","0.00061934"
"2024-12-14","63.05","0.00062109"
"2024-12-13","62.65","0.00062337"
"2024-12-12","63.81","0.00063302"
"2024-12-11","62.04","0.00062734"
"2024-12-10","60.35","0.00062281"
"2024-12-09","61.58","0.00062515"
"2024-12-08","62.44","0.00062529"
"2024-12-07","62.92","0.00063052"
"2024-12-06","61.74","0.00062371"
"2024-12-05","62.88","0.00062157"
"2024-12-04","60.03","0.00062182"
"2024-12-03","59.92","0.00062712"
"2024-12-02","62.17","0.00064693"
"2024-12-01","60.77","0.00062697"
"2024-11-30","61.03","0.00063080"
"2024-11-29","61.48","0.00063469"
"2024-11-28","60.29","0.00063161"
"2024-11-27","59.85","0.00063499"
"2024-11-26","58.91","0.00063246"
"2024-11-25","60.75","0.00062742"
"2024-11-24","61.56","0.00063118"
"2024-11-23","63.20","0.00064217"
"2024-11-22","62.88","0.00063633"
"2024-11-21","62.77","0.00064605"
"2024-11-20","60.28","0.00064538"
"2024-11-19","58.89","0.00064011"
"2024-11-18","57.68","0.00063393"
"2024-11-17","57.12","0.00063218"
"2024-11-16","60.77","0.00066702"
"2024-11-15","58.64","0.00065751"
"2024-11-14","58.78","0.00065524"
"2024-11-13","57.47","0.00064537"
"2024-11-12","56.84","0.00064543"
"2024-11-11","52.70","0.00063316"
"2024-11-10","50.35","0.00063594"
"2024-11-09","48.36","0.00063273"
"2024-11-08","47.89","0.00062827"
"2024-11-07","47.34","0.00062755"
"2024-11-06","46.62","0.00062851"
"2024-11-05","43.27","0.00062730"
"2024-11-04","45.37","0.00066297"
"2024-11-03","45.67","0.00066692"
"2024-11-02","46.49","0.00066885"
"2024-11-01","46.75","0.00067078"
"2024-10-31","53.09","0.00074256"
"2024-10-30","48.31","0.00066891"
"2024-10-29","48.01","0.00067072"
"2024-10-28","45.74","0.00066664"
"2024-10-27","45.12","0.00066977"
"2024-10-26","45.67","0.00068247"
"2024-10-25","49.69","0.00073524"
"2024-10-24","46.78","0.00069305"
"2024-10-23","46.17","0.00069357"
"2024-10-22","47.80","0.00071021"
"2024-10-21","47.77","0.00070109"
"2024-10-20","47.94","0.00070037"
"2024-10-19","48.61","0.00071182"
"2024-10-18","49.94","0.00073313"
"2024-10-17","53.27","0.00079220"
"2024-10-16","48.95","0.00072518"
"2024-10-15","47.60","0.00072038"
"2024-10-14","46.80","0.00072251"
"2024-10-13","46.05","0.00073427"
"2024-10-12","47.72","0.00075844"
"2024-10-11","44.75","0.00072748"
"2024-10-10","43.16","0.00071334"
"2024-10-09","44.11","0.00071356"
"2024-10-08","45.84","0.00073462"
"2024-10-07","46.01","0.00072609"
"2024-10-06","45.31","0.00072766"
"2024-10-05","44.96","0.00072449"
"2024-10-04","44.41","0.00072150"
"2024-10-03","43.87","0.00072175"
"2024-10-02","44.20","0.00072144"
"2024-10-01","45.43","0.00072295"
"2024-09-30","46.26","0.00072253"
"2024-09-29","47.62","0.00072445"
"2024-09-28","47.99","0.00072975"
"2024-09-27","47.81","0.00072845"
"2024-09-26","46.45","0.00072254"
"2024-09-25","44.27","0.00069451"
"2024-09-24","43.84","0.00069007"
"2024-09-23","43.66","0.00068732"
"2024-09-22","43.29","0.00068742"
"2024-09-21","43.67","0.00069191"
"2024-09-20","43.85","0.00069359"
"2024-09-19","43.35","0.00069164"
"2024-09-18","41.52","0.00069030"
"2024-09-17","40.93","0.00068946"
"2024-09-16","40.13","0.00068794"
"2024-09-15","41.32","0.00068855"
"2024-09-14","41.43","0.00068992"
"2024-09-13","40.52","0.00069017"
"2024-09-12","40.10","0.00069107"
"2024-09-11","39.48","0.00069364"
"2024-09-10","40.76","0.00071367"
"2024-09-09","39.66","0.00071223"
"2024-09-08","38.67","0.00071126"
"2024-09-07","38.67","0.00071303"
"2024-09-06","39.67","0.00071768"
"2024-09-05","40.62","0.00071518"
"2024-09-04","40.90","0.00071537"
"2024-09-03","41.82","0.00071370"
"2024-09-02","41.48","0.00071260"
"2024-09-01","41.48","0.00071238"
"2024-08-31","42.19","0.00071407"
"2024-08-30","42.34","0.00071633"
"2024-08-29","42.66","0.00071459"
"2024-08-28","43.09","0.00072654"
"2024-08-27","45.91","0.00073838"
"2024-08-26","46.93","0.00073670"
"2024-08-25","47.16","0.00073514"
"2024-08-24","47.20","0.00073636"
"2024-08-23","49.25","0.00079799"
"2024-08-22","48.27","0.00079550"
"2024-08-21","44.16","0.00073772"
"2024-08-20","44.49","0.00074011"
"2024-08-19","43.19","0.00073612"
"2024-08-18","43.81","0.00073424"
"2024-08-17","43.65","0.00073632"
"2024-08-16","43.12","0.00073762"
"2024-08-15","43.01","0.00073652"
"2024-08-14","42.46","0.00070578"
"2024-08-13","42.20","0.00070655"
"2024-08-12","41.54","0.00070399"
"2024-08-11","42.51","0.00070333"
"2024-08-10","42.94","0.00070686"
"2024-08-09","43.05","0.00070891"
"2024-08-08","41.19","0.00070762"
"2024-08-07","39.83","0.00070690"
"2024-08-06","39.48","0.00070669"
"2024-08-05","37.70","0.00070539"
"2024-08-04","42.31","0.00070565"
